Addr.,Param,Process Val,Preamble,Req/Res,??,Zone,??,??,??,Chk,??,Param,Instance,??,Data,Data Chk
1,4001,--,55 FF,05,--,10,00,00,06,E8,01 03 01,04 01,01,--,--,E3 99
,,2529.6,55 FF,06,00,10,--,00,0B,88,02 03 01,04 01,01,08,45 1E 3C D4,A7 28
2,4001,--,55 FF,05,--,11,00,00,06,61,01 03 01,04 01,01,--,--,E3 99
,,2528.7,55 FF,06,00,11,--,00,0B,10,02 03 01,04 01,01,08,45 1E 0C 06,9A 6B
1,4012,--,55 FF,05,--,10,00,00,06,E8 ,01 03 01,04 0C,01,--,--,9B 29
,,0.0,55 FF,06,00,10,--,00,0B,88,02 03 01,04 0C,01,08,00 00 00 00,2D 64
2,4012,--,55 FF,05,--,11,00,00,06,61,01 03 01,04 0C,01,--,--,9B 29
,,0.0,55 FF,06,00,11,--,00,0B,10,02 03 01,04 0C,01,08,00 00 00 00,2D 64
1,7001,--,55 FF,05,--,10,00,00,06,E8,01 03 01,07 01,01,--,--,87 76
,,392.0,55 FF,06,00,10,--,00,0B,88,02 03 01,07 01,01,08,43 C4 00 00,33 9A
,,,,,,,,,,,,,,,,
